Prezzo,Locali,Superficie,Bagni,Piano
350000,4,130,2,2
79000,2,58,1,1
1250000,6,245,4,50
539000,6,180,2,1
630000,3,124,2,0.5
720000,4,185,2,50
525000,3,131,2,5
820000,6,260,3,3
1500000,6,220,2,5
495000,5,130,2,3
3950000,6,362,3,3
790000,6,160,1,1
650000,6,130,2,2
1290000,4,120,3,4
150000,3,65,2,50
175000,3,122,2,1
415000,3,75,1,2
980000,4,243,3,2
620000,4,130,2,1
449000,3,126,1,6
240000,2,70,1,5
890000,5,150,2,1
2950000,6,540,4,0.5
1065000,4,280,3,4
440000,5,160,2,2
450000,5,180,2,0
900000,6,175,3,3
790000,6,250,3,2
360000,3,90,1,3
125000,2,70,1,3
139000,4,100,3,3
325000,3,110,2,2
1500000,6,314,3,6
590000,4,166,2,0.5
1990000,6,370,3,3
1650000,6,165,3,3
750000,4,163,2,2
139000,4,100,3,3
695000,4,167,2,50
855000,5,182,3,1
520000,2,79,1,3
450000,6,140,2,2
490000,6,140,2,1
560000,2,60,2,4
350000,2,85,1,3
690000,5,150,2,0.5
630000,5,147,2,0.5
230000,2,75,1,8
515000,4,150,2,1
710000,6,170,1,1
1145000,6,210,3,6
775000,6,160,4,4
190000,3,85,1,5
2100000,6,270,3,2
339000,4,120,2,1
320000,3,110,2,1
830000,6,168,2,4
320000,5,135,1,0
219000,4,120,1,0.5
680000,1,125,1,0
239000,2,52,1,1
384000,4,125,2,1
790000,5,168,3,4
470000,5,110,2,4
449000,2,93,1,3
295000,5,140,2,3
860000,5,250,2,4
490000,2,82,1,4
790000,4,92,2,2
139000,4,120,3,0
148000,2,49,1,7
300000,3,98,1,0
1380000,6,220,3,5
320000,2,68,1,50
210000,3,79,1,-1
880000,3,119,2,1
195000,2,31,1,0
185000,2,73,1,1
740000,5,217,3,2
720000,3,115,2,4
1080000,5,160,3,1
179000,2,67,1,1
390000,5,133,2,1
610000,5,156,2,1
420000,4,109,2,1
279000,4,104,2,1
560000,5,250,4,0
365000,3,95,2,1
495000,4,173,3,4
239000,2,80,1,0
890000,6,195,3,3
339000,4,100,1,50
229000,3,54,1,1
395000,6,200,2,2
235000,3,85,1,0
549000,3,115,1,2
495000,5,145,2,50
795000,6,218,3,4
1190000,6,179,2,1
439000,3,72,1,4
849000,5,208,3,3
189000,2,50,1,50
219000,2,60,1,3
185000,3,110,2,50
398000,4,90,2,0.5
990000,6,284,4,5
4050000,6,750,3,1
370000,5,111,2,1
1560000,6,297,2,4
660000,3,104,2,2
315000,2,35,1,0
1280000,6,166,1,1
1290000,6,270,3,2
549000,5,132,2,4
599000,5,140,2,50
1300000,4,160,3,5
1090000,6,231,3,3
245000,3,70,1,1
590000,4,80,1,3
1490000,6,225,3,5
1060000,5,162,2,50
210000,4,116,2,0.5
569000,4,150,3,1
580000,5,76,1,2
590000,5,152,3,2
345000,3,49,1,2
1490000,6,250,4,3
1390000,6,180,4,50
899000,6,186,3,4
200000,2,60,1,3
1100000,3,150,2,2
2570000,5,210,2,3
970000,5,239,3,0
890000,2,70,1,3
390000,3,110,2,0
645000,3,100,1,3
795000,5,160,2,0
680000,3,90,2,3
870000,6,190,3,50
599000,6,150,2,3
189000,2,55,1,0.5
1250000,5,290,4,2
1390000,6,281,3,4
1590000,5,225,4,2
1120000,6,241,4,3
730000,6,165,3,4
1320000,5,223,3,1
2450000,6,378,4,4
549000,5,150,2,2
1420000,3,170,2,3
740000,5,141,2,3
79000,2,50,1,0
735000,3,115,1,1
550000,5,145,2,2
109000,2,49,1,50
389000,4,120,2,5
239000,2,70,1,0.5
690000,3,104,1,3
285000,4,90,2,6
260000,3,65,1,50
1150000,6,220,3,2
345000,3,70,2,6
450000,4,145,3,2
169000,3,75,1,1
178000,2,69,1,3
235000,2,70,1,8
240000,2,54,1,0
565000,4,120,2,7
350000,4,103,2,5
349000,4,95,2,50
399000,3,107,2,3
1650000,6,282,4,2
525000,4,100,2,50
145000,2,55,1,0
635000,5,165,2,9
390000,4,130,2,3
550000,3,116,2,2
148000,1,33,1,2
495000,4,116,2,0
205000,2,66,1,-1
975000,6,198,3,0
1550000,4,138,3,1
495000,3,79,2,3
397000,3,117,1,2
1300000,6,303,3,3
695000,4,163,2,5
215000,3,85,2,5
325000,3,80,1,4
285000,4,100,1,3
695000,4,101,2,5
630000,5,144,2,2
175000,1,59,1,2
530000,3,123,2,1
398000,4,137,2,3
465000,4,140,1,2
1250000,5,200,3,4
198000,3,80,2,4
498000,5,150,2,2
260000,3,88,1,1
778000,6,217,3,4
335000,3,109,1,0
728000,5,157,4,3
189000,2,50,1,5
199000,2,62,1,3
289000,2,63,1,1
224000,2,55,1,1
98000,1,35,1,0
215000,2,55,1,5
149000,3,90,1,0.5
249000,4,120,2,0.5
115000,1,40,1,2
109000,2,63,1,2
245000,3,85,1,1
269000,3,80,1,2
199000,3,80,1,2
189000,3,100,2,0.5
209000,2,90,1,0.5
425000,3,110,1,-1
350000,6,260,3,0.5
245000,3,80,1,1
165000,3,77,2,1
300000,2,56,1,1
270000,3,90,2,1
1690000,6,227,3,3
460000,4,135,2,2
445000,4,110,2,6
269000,3,110,1,3
399000,4,130,2,50
480000,5,120,2,2
420000,3,134,2,1
180000,2,65,1,1
425000,2,65,1,2
699000,6,160,2,1
279000,3,73,1,50
198000,3,93,2,50
155000,2,63,1,0
219000,3,80,1,2
195000,1,38,1,1
123000,1,37,1,1
179000,2,71,1,1
287000,3,80,2,2
245000,3,79,2,1
365000,3,80,1,3
430000,2,65,1,4
148000,2,53,1,1
195000,3,69,1,1
175000,2,74,1,4
133000,2,42,1,1
179000,3,80,2,1
156000,2,49,1,1
113000,1,37,1,1
310000,3,100,2,0.5
890000,6,200,3,1
980000,6,300,4,3
145000,2,35,1,1
229000,3,82,2,0
1090000,6,200,4,1
870000,3,88,1,4
205000,2,60,1,1
258000,3,75,2,2
148000,2,39,1,1
1020000,6,247,2,0
760000,6,165,3,1
159000,3,80,1,4
189000,3,95,1,1
285000,3,100,2,50
380000,6,100,2,5
270000,4,115,2,6
139000,2,60,1,0.5
429000,4,108,2,3
1500000,6,150,3,3
1450000,6,300,3,5
168000,3,65,1,1
285000,3,80,2,1
149000,2,58,1,0
85000,1,30,1,2
229000,4,110,2,0.5
185000,4,90,1,0.5
199000,3,127,1,1
238000,3,67,2,1
930000,4,120,2,50
509000,5,216,3,50
255000,3,95,2,2
400000,4,120,1,2
259000,4,136,1,1
289000,3,97,2,50
310000,4,90,4,1
235000,4,116,1,1
740000,6,200,3,50
490000,4,140,2,3
380000,4,150,2,0
205000,3,90,1,0.5
179000,3,81,1,3
1500000,4,118,2,50
239000,3,93,1,2
460000,3,106,2,0
400000,6,145,2,1
259000,4,108,1,5
209000,3,90,1,2
955000,4,113,2,1
550000,6,170,2,2
200000,3,100,1,50
169000,2,63,1,2
198000,3,89,1,3
260000,3,148,2,1
349000,4,115,2,3
750000,4,225,3,50
240000,3,105,1,50
2350000,6,200,3,5
1660000,6,194,3,4
649000,2,70,1,4
495000,5,150,1,1
199000,2,50,1,0
960000,5,200,3,2
249000,3,140,2,1
119000,1,39,1,5
630000,5,167,2,3
1290000,6,200,3,4
249000,3,87,1,50
465000,5,127,2,1
450,2,60,1,2
125000,1,43,1,1
152000,2,45,1,1
360000,5,171,2,3
205000,2,50,1,0
249000,4,115,2,2
165000,2,45,1,0
179000,3,80,2,1
395000,5,120,2,0
460000,3,100,2,4
289000,2,60,1,0
1100000,5,195,3,4
850000,5,287,3,3
620000,3,119,1,2
369000,6,130,3,50
540000,4,150,2,0.5
508000,3,130,2,6
241000,3,100,2,1
180000,3,72,2,0
1070000,6,200,2,3
185000,2,45,1,0
220000,3,116,1,1
450000,4,134,1,50
410000,5,141,2,1
68000,2,20,1,0
169000,2,80,1,0
189000,3,79,1,1
115000,2,58,1,3
215000,3,67,1,1
359000,4,130,3,3
269000,4,131,2,50
349000,3,100,1,2
279000,3,110,1,0
180000,2,65,1,4
210000,3,65,1,1
570000,4,140,2,2
1090000,6,197,2,4
186000,3,63,1,1
149000,2,47,1,1
190000,5,139,3,50
369000,5,125,2,2
289000,4,110,2,1
110000,3,58,1,1
155000,3,60,1,50
149000,3,63,2,50
165000,2,78,1,4
169000,5,120,2,2
159000,3,55,1,0
119000,3,85,1,2
990000,4,187,2,3
495000,6,160,2,1
670000,3,131,3,3
249000,3,67,2,4
269000,4,128,2,3
450000,4,120,1,3
159000,2,65,1,0.5
459000,4,121,2,4
1811000,6,277,3,50
360000,5,106,1,4
290000,4,95,2,0
295000,2,65,1,2
158000,3,60,1,-1
195000,2,70,1,0
155000,2,70,1,0.5
835000,5,200,2,1
249000,3,69,1,3
199000,3,90,2,2
179000,4,90,2,0
167000,2,55,2,50
696000,3,84,2,1
139000,2,54,1,2
245000,2,54,1,2
189000,2,54,1,1
360000,3,90,1,2
1950000,6,260,4,5
365000,3,83,2,0
1250000,5,245,3,0
159000,3,110,1,4
790000,5,167,2,4
175000,3,75,2,1
249000,3,100,2,1
369000,4,150,2,1
600000,3,130,2,5
199000,2,68,1,6
210000,3,75,1,50
579000,3,75,2,4
280000,3,75,1,0
399000,3,113,1,2
379000,4,140,2,2
590000,3,100,1,1
249000,2,67,1,7
420000,3,108,1,1
455000,3,83,2,5
260000,3,80,1,1
950000,6,190,3,2
680000,4,108,2,5
175000,2,70,1,3
189000,4,119,1,0.5
1900000,6,275,3,50
1780000,5,261,3,2
215000,3,95,1,3
390000,3,140,2,0
515000,3,108,1,7
810000,6,191,3,1
469000,3,103,1,2
353800,3,85,1,2
1250000,4,200,3,4
145000,2,70,1,1
160000,2,53,1,1
275000,3,93,1,3
1950000,6,360,4,2
395000,6,150,2,0
349000,4,128,1,5
260000,4,135,2,0
210000,1,43,1,2
230000,4,110,2,50
2200000,4,280,4,50
245000,3,90,1,50
335000,3,80,1,0.5
215000,2,55,1,2
300000,2,60,1,2
200000,2,65,1,50
420000,3,100,2,50
980000,6,250,3,1
330000,3,90,2,1
185000,1,25,1,50
350000,6,170,2,0.5
149000,3,75,1,1
215000,3,70,1,2
680000,5,149,2,2
640000,6,210,3,1
245000,2,70,1,5
179000,3,80,1,2
695000,5,150,2,50
259000,3,100,2,1
480000,3,141,3,0.5
440000,4,136,2,3
349000,4,130,2,3
270000,3,102,1,4
670000,5,158,3,4
330000,3,85,1,3
149000,2,52,1,0.5
580000,4,121,2,3
220000,2,75,1,3
460000,3,100,2,3
190000,1,35,1,0.5
205000,3,92,1,50
419000,4,120,2,6
295000,4,116,1,6
324000,3,109,1,0.5
374000,2,53,1,4
140000,1,40,1,0
460000,3,110,1,4
349000,4,99,2,1
160000,1,40,1,1
235000,2,70,1,1
265000,3,92,1,1
1200000,4,229,2,4
339000,4,92,1,50
645000,6,168,2,3
245000,4,100,2,0.5
155000,2,60,1,0
600000,5,120,2,4
259000,2,56,1,0
200000,4,95,1,1
229000,6,110,2,0.5
320000,3,100,2,3
225000,2,60,1,0.5
250000,4,154,2,1
149000,3,58,1,3
571000,5,155,3,1
260000,3,80,1,2
260000,3,60,1,3
469000,4,130,1,0.5
325000,2,70,1,7
110000,3,80,1,3
175000,3,90,1,0
199000,3,76,2,1
290000,3,84,2,1
398000,4,149,2,3
430000,4,142,2,0
320000,3,110,2,50
318000,4,102,2,1
118000,1,30,1,1
275000,3,95,2,1
388000,5,150,3,1
89000,3,50,1,50
535000,5,120,1,0
499000,3,125,2,3
149000,2,70,1,0
499000,6,160,4,50
229000,3,80,2,0.5
140000,2,66,1,4
435000,4,153,2,1
219000,2,60,1,2
429000,2,64,1,2
460000,5,135,2,4
420000,4,115,1,1
595000,4,170,2,2
298000,3,95,1,5
299000,4,115,1,0.5
549000,6,170,2,3
645000,5,173,3,1
880000,5,250,2,0
455000,4,124,2,1
485000,4,118,2,2
575000,6,160,4,3
690000,5,184,3,50
229000,2,52,1,0
545000,4,127,2,5
335000,2,70,1,2
440000,5,120,2,2
395000,3,95,1,2
595000,4,110,2,2
179000,3,75,1,1
208000,3,98,2,4
295000,4,145,2,7
210000,2,66,1,1
118000,3,56,1,1
262000,3,85,2,-1
460000,4,148,2,0
148000,3,90,1,1
725000,6,180,3,2
542000,3,88,2,8
260000,3,107,1,0
225000,4,120,2,1
129000,2,55,1,1
495000,3,92,2,0
149000,2,65,1,2
159000,1,55,1,4
269000,3,104,2,3
129000,3,79,2,50
440000,5,140,2,2
317000,1,60,1,12
395000,2,88,1,12
966000,3,191,2,12
488000,3,130,2,6
234000,2,70,1,50
190000,2,50,1,0
650000,6,190,2,5
475000,5,120,2,3
235000,2,56,1,7
275000,4,91,2,1
1150000,5,215,3,2
170000,2,55,1,0
230000,3,85,1,1
285000,3,90,1,3
430000,3,96,1,2
650000,5,206,3,4
370000,2,53,1,3
225000,3,73,1,5
295000,3,166,2,0
645000,4,130,2,50
145000,2,68,1,0.5
115000,3,45,1,3
590000,4,140,2,1
120000,2,60,1,0
200000,3,110,2,3
239000,4,120,1,0
290000,4,144,1,0
307000,1,60,1,12
590000,6,137,3,1
164000,2,60,1,2
212000,2,60,1,1
218000,4,102,2,3
155000,1,25,1,0.5
389000,4,115,2,2
1070000,6,200,2,2
495000,3,80,2,4
1295000,6,288,4,2
249000,4,115,2,2
415000,3,70,1,4
1350000,6,229,3,50
1250000,4,125,2,3
1090000,6,254,3,6
525000,6,170,2,5
219000,2,60,1,1
290000,4,99,1,1
160000,2,58,1,1
550000,4,100,1,50
137000,1,49,1,2
880000,4,145,2,1
379000,4,110,1,4
1280000,4,120,2,3
740000,2,90,1,2
390000,2,40,1,1
785000,5,100,2,0
1650000,6,344,4,50
259000,2,65,1,50
275000,4,99,2,5
600000,3,77,2,2
690000,2,70,1,1
219000,2,61,1,3
1150000,4,115,2,2
420000,3,90,2,2
669000,6,160,3,5
249000,3,113,1,5
429000,4,110,2,4
262500,2,73,1,50
1680000,6,249,3,50
260000,2,50,1,0
235900,3,81,1,1
670000,5,180,2,4
480000,3,90,2,0
740000,6,130,1,1
2280000,6,290,3,50
630000,4,151,1,5
629000,5,120,1,50
519000,4,140,3,2
157000,2,45,1,0
459000,4,147,2,3
840000,6,250,4,0
315000,3,94,2,1
749000,5,190,4,2
164000,2,60,1,1
630000,3,100,2,3
159000,2,45,1,1
870000,6,200,2,0.5
740000,5,145,2,50
425000,5,125,2,2
430000,3,92,2,0.5
280000,4,120,2,4
230000,4,100,1,3
139000,3,55,1,1
180000,2,50,1,1
269000,3,90,1,1
550000,6,155,2,2
249000,3,100,1,0.5
380000,6,140,2,0
260000,4,111,1,3
930000,3,95,1,50
990000,6,210,3,1
600000,3,120,1,4
660000,5,172,2,3
225000,3,78,1,4
920000,4,204,1,5
950000,6,190,2,4
450000,5,127,2,2
480000,5,110,2,5
3500000,6,389,4,50
545000,3,93,2,3
189000,5,130,2,1
359000,4,95,2,2
225000,4,100,2,4
1200000,4,170,2,3
1090000,6,200,2,50
630000,4,160,2,2
545000,4,115,2,2
295000,3,79,1,4
135000,2,62,1,3
189000,3,80,2,0
176000,2,42,2,1
273000,3,71,1,0
233000,2,53,1,0
480000,3,103,2,4
565000,3,90,2,4
165000,3,75,1,1
195000,3,87,1,1
1150000,6,270,4,4
155000,3,60,1,0
229000,2,67,1,1
359000,3,138,2,0.5
129000,3,115,2,1
1280000,4,135,2,50
1090000,4,140,2,2
189000,3,70,1,1
370000,5,104,1,50
150000,3,70,2,3
222000,2,57,1,4
112000,2,84,1,0
238000,2,60,1,1
340000,3,74,1,0
210000,3,70,1,2
189000,3,65,1,1
249000,4,105,1,1
371000,2,60,1,1
399000,4,120,2,1
410000,4,124,2,6
695000,4,136,2,1
550000,5,170,2,50
365000,4,134,2,4
485000,5,140,2,1
860000,6,200,3,2
270000,3,121,1,4
166000,2,76,1,2
365000,3,90,2,3
375000,4,116,2,0
335000,2,58,1,0.5
590000,5,164,2,2
870000,5,250,3,4
370000,2,98,1,4
365000,3,118,2,0
490000,5,160,2,5
155000,3,90,2,1
125000,2,40,1,0
179000,3,75,1,1
450000,6,150,2,1
590000,6,170,2,2
439000,4,140,2,2
280000,3,88,1,1
265000,4,126,1,3
195000,3,73,1,2
1330000,6,216,3,5
590000,6,160,3,2
1700000,5,225,3,1
550000,6,200,2,0
169000,2,72,1,0
280000,3,80,2,0
210000,3,80,1,1
225000,2,72,1,6
348000,4,175,3,1
649000,6,160,3,3
155000,2,65,1,2
154000,2,56,1,1
390000,4,119,2,3
795000,3,150,2,5
520000,4,120,3,50
385000,4,160,3,50
590000,4,160,3,50
699000,6,210,4,1
195000,2,60,1,0.5
510000,4,110,1,1
2350000,6,271,2,2
340000,3,140,2,0.5
149000,2,55,1,1
272000,3,85,1,6
215000,3,92,1,2
149000,3,70,1,0.5
219000,3,90,1,4
235000,3,100,2,4
239000,3,115,1,4
350000,4,93,1,-1
765000,4,110,3,0
210000,2,65,1,4
239000,4,85,2,0
149000,3,80,1,2
335000,3,100,2,8
465000,4,105,1,4
454000,2,93,1,12
259000,3,72,2,0
460000,3,95,2,7
285000,3,94,2,0
215000,2,70,1,50
315000,3,75,2,50
615000,3,96,2,2
640000,5,160,2,4
340000,3,93,1,3
320000,1,30,1,6
350000,3,100,1,50
1390000,6,403,4,3
135000,2,55,1,3
210000,1,43,1,2
112000,2,75,1,0
320000,3,80,1,5
790000,6,170,3,2
410000,2,45,1,50
419000,4,135,1,50
370000,4,100,2,4
780000,5,180,2,3
395000,3,96,2,1
450000,2,51,1,4
395000,3,110,1,2
495000,5,155,3,4
345000,2,84,1,50
495000,5,151,2,4
375000,2,65,1,2
160000,2,60,1,2
275000,2,80,1,2
495000,3,124,2,1
670000,4,140,2,2
850000,3,140,2,3
370000,3,120,2,3
348000,3,120,1,5
310000,3,97,2,5
115000,1,35,1,2
770000,6,200,2,4
250000,2,65,1,0
399000,3,100,2,2
495000,3,120,2,3
795000,3,126,1,50
419000,3,80,1,2
1030000,6,228,3,2
1190000,6,270,3,0.5
1710000,5,232,3,1
209000,3,85,1,7
129000,2,45,1,50
115000,2,50,1,2
595000,5,159,2,0
105000,1,50,1,1
230000,3,90,1,50
380000,2,45,1,2
1500000,6,260,2,4
259000,3,87,1,2
780000,5,135,2,50
1690000,6,230,3,50
295000,4,116,2,0
178000,3,75,1,1
216000,2,78,1,2
215000,3,73,2,0
450000,4,120,2,1
890000,6,160,2,2
840000,5,155,2,3
520000,4,100,1,1
1280000,5,170,2,3
450000,5,130,2,2
240000,3,87,1,3
765000,5,172,3,2
595000,6,177,2,2
388000,3,80,1,1
289000,3,84,2,0
1090000,6,210,2,5
175000,4,84,1,1
250000,3,70,1,1
550000,3,103,1,0
219000,4,90,2,1
247000,3,87,1,0.5
250000,3,90,1,1
230000,2,35,1,1
290000,5,160,2,0.5
169000,4,115,2,0.5
500000,3,80,1,0
395000,3,100,2,0
235000,3,85,1,4
398000,5,135,2,50
429000,5,70,1,50
123000,3,50,1,0.5
150000,2,65,1,1
429000,3,88,1,2
239000,4,92,1,1
690000,6,240,2,1
240000,3,80,1,1
520000,4,120,2,2
695000,5,163,2,4
690000,5,155,2,5
490000,4,100,2,0.5
345000,4,95,2,1
2900000,6,592,4,4
235000,3,100,1,1
135000,3,82,1,0
165000,2,70,1,3
185000,3,85,1,1
660000,5,135,1,50
190000,2,53,1,1
149000,2,60,1,3
79000,1,40,1,-1
165000,2,50,1,0
239000,3,100,2,2
159000,2,60,1,2
210000,3,70,1,1
115000,3,60,1,2
210000,3,90,1,5
245000,3,85,2,2
320000,3,110,1,6
600000,3,150,2,2
550000,2,80,1,1
138000,2,50,1,1
164000,4,85,1,0.5
490000,3,92,2,1
1850000,4,247,4,2
236000,3,87,2,3
203000,2,52,1,1
342000,3,84,2,50
125000,1,40,1,0
356000,3,99,2,0
159000,2,92,1,1
386500,4,92,2,0
315000,3,110,2,6
225000,2,58,1,2
315000,3,80,2,3
290000,4,80,2,1
225000,2,70,1,50
340000,3,115,1,0
750000,6,191,2,1
570000,6,140,2,1
525000,5,150,2,0
235000,3,75,1,2
540000,3,108,1,5
210000,3,80,1,0
569000,5,150,3,1
540000,4,170,2,5
178000,3,59,1,7
160000,4,94,1,0
225000,3,95,1,2
220000,3,75,1,1
225000,2,65,1,0
980000,6,180,3,1
198000,2,60,1,6
850000,5,180,2,5
219000,3,60,1,2
159000,2,62,1,1
510000,5,125,2,1
1300000,6,200,2,1
460000,3,87,2,0
320000,5,145,2,1
560000,6,160,2,3
199000,2,45,1,0
435000,3,106,2,1
64000,2,33,1,0
1180000,6,275,3,2
360000,4,115,2,3
210000,3,140,2,-1
285000,3,80,1,2
270000,3,90,1,1
285000,3,85,2,0
795000,6,175,3,0
299000,3,95,1,3
375000,4,105,2,2
649000,5,160,2,5
120000,1,35,1,0
645000,3,73,1,3
410000,3,85,1,50
450000,3,100,2,1
650000,5,140,2,2
600000,4,140,2,1
387000,4,100,1,2
1200000,6,200,2,1
380000,2,50,1,0
415000,3,70,1,50
298000,2,47,1,0
360000,3,110,1,3
193000,2,51,1,0
295000,2,66,1,0
289000,4,112,2,4
195000,4,80,2,2
1160000,6,273,2,1
749000,6,280,2,50
435000,3,90,1,2
315000,2,60,1,0.5
479000,4,89,2,1
229000,3,85,1,5
420000,3,110,1,7
499000,3,80,2,2
625000,4,130,2,4
299000,3,90,1,8
135000,2,63,1,3
355000,5,140,2,1
319000,6,100,2,0
410000,4,144,2,8
335000,3,97,2,7
795000,4,115,1,4
275000,4,140,2,1
275000,3,104,1,1
950000,5,185,2,3
545000,5,153,2,4
209000,2,50,1,2
249000,2,60,1,1
475000,5,150,2,1
337000,6,160,3,0
200000,3,80,1,2
419000,3,100,1,1
325000,3,93,1,4
289000,2,65,1,2
169800,2,60,1,2
209000,2,65,1,4
140000,2,40,1,0
790000,5,190,4,0
179000,4,70,2,0
595000,4,90,2,2
268000,2,50,1,0.5
135000,2,60,1,3
230000,4,125,2,2
189000,2,70,1,6
240000,3,95,1,1
590000,6,155,3,50
420000,3,63,1,5
159000,4,115,2,2
299000,3,100,2,1
260000,4,100,2,0
145000,1,56,1,-1
234000,3,85,2,0
308000,3,100,1,4
160000,2,55,1,0
480000,5,157,2,0
349000,2,80,1,0.5
690000,6,196,3,7
89000,2,51,1,0
319000,3,115,2,4
455000,5,140,2,2
379000,3,100,2,6
599000,4,120,2,5
180000,3,80,2,0
495000,5,180,2,2
575000,5,128,2,2
670000,5,159,2,5
185000,3,80,1,1
159000,4,100,2,50
157000,2,50,1,50
179000,5,130,2,2
850000,5,160,3,4
279000,2,64,1,3
750000,3,90,1,50
245000,2,70,1,6
169000,3,90,1,1
349000,4,135,2,4
148000,4,100,1,4
385000,4,116,2,2
225000,3,75,1,7
1150000,6,320,2,4
645000,3,118,2,4
370000,3,115,3,50
245000,2,68,1,2
345000,4,107,2,1
238000,2,60,1,0
319000,3,85,1,1
349000,3,80,2,3
445000,4,125,1,2
150000,2,62,1,0
780000,3,120,2,3
560000,5,161,2,1
199000,2,65,1,3
390000,3,111,1,3
470000,4,130,2,1
620000,5,151,3,3
520000,4,122,3,4
289000,3,102,1,50
135000,2,60,1,3
394000,3,105,1,4
239000,3,60,1,0.5
630000,3,131,1,3
230000,3,71,1,0
409000,3,108,2,4
295000,3,70,1,1
369000,4,130,2,2
479000,4,140,2,5
575000,5,173,3,1
149000,2,55,1,3
259000,3,90,1,2
145000,2,50,1,1
550000,5,200,3,1
219000,3,104,2,2
385000,3,75,1,50
410000,3,97,2,1
278000,3,100,1,6
130000,2,45,1,0
329000,4,100,3,1
269000,3,95,1,2
489000,4,100,2,0
229000,2,70,1,1
195000,3,71,1,0
149000,1,30,1,-1
149000,3,70,1,3
450000,6,190,3,9
385000,3,91,1,4
169000,2,40,1,2
590000,5,145,2,1
569000,5,150,2,0
349000,3,80,1,5
370000,3,80,2,3
249000,3,70,1,1
120000,2,43,1,50
500000,3,170,2,50
345000,5,130,2,0
159000,3,90,1,2
199000,3,110,2,3
255000,1,45,1,1
235000,3,75,1,0
415000,3,115,1,1
289000,3,85,1,0
229000,2,55,1,5
260000,3,100,1,0
259000,4,100,1,4
129000,2,61,1,2
185000,2,50,1,1
760000,3,105,2,50
485000,4,120,2,1
319000,3,103,1,1
270000,4,110,1,1
73000,2,47,1,-1
219000,2,70,1,0
310000,2,65,1,3
259000,3,90,2,1
185000,1,49,1,0.5
345000,3,120,1,5
199000,3,65,1,1
599000,6,210,3,3
195000,2,70,1,3
369000,3,80,2,1
249000,3,95,1,7
229000,3,80,1,3
398000,3,90,1,6
269000,3,72,1,3
219000,2,70,1,0
